title;company;salary;rating;review_count;types;state;location;hires_needed_exact;urgently_hiring;remote_work_model;new_job;hiring_event_job;indeed_apply_enabled;
Middle Web Developer;Denios, Inc.;45,000 - 55,000 a year;0;0;Full-time;KY;Louisville, KY;1;TRUE;;FALSE;FALSE;TRUE;
Real-Time, Embedded Software Engineer;Checkmate Partners;100,000 - 200,000 a year;0;0;Full-time;CA;San Francisco Bay Area, CA;1;FALSE;;TRUE;FALSE;TRUE;
Software Engineer (Clearance Required);LOCKHEED MARTIN CORPORATION;3,000 a week;4;8633;;MD;Annapolis Junction, MD;NaN;FALSE;;FALSE;FALSE;FALSE;
NaN;Goliath Solutions Group;15 - 20 an hour;0;0;Full-time;TX;Fairview, TX;1;TRUE;;FALSE;FALSE;TRUE;
Middle DevOps Engineer - Very Profitable Start-up;TechTalent NW;125,000 - 170,000 a year;0;0;Full-time;WA;Bellevue, WA;1;FALSE;REMOTE_COVID_TEMPORARY;TRUE;FALSE;TRUE;
Lead Software/Java Engineer;Bectran;90,000 - 130,000 a year;1,5;4;Full-time;IL;Chicago, IL;1;FALSE;;TRUE;FALSE;TRUE;
Senior Software Engineer;College Auto Sales of Florida;105,271 - 126,000 a year;0;0;Full-time;FL;Miami Lakes, FL;1;FALSE;;FALSE;FALSE;TRUE;
Solutions Engineer, Software;Liberty Mutual Insurance;128,200 - 177,600 a year;-3,6;4540;;;Remote;NaN;FALSE;REMOTE_ALWAYS;FALSE;FALSE;FALSE;
Real-Time, Embedded Software Engineer;Checkmate Partners;100,000 - 200,000 a year;0;0;Full-time;CA;San Jose, CA;1;FALSE;;TRUE;FALSE;TRUE;
Software Engineer - Production Support - CCE - Mulesoft;Salesforce;121,800 a year;4,3;767;Full-time;CO;Denver, CO;NaN;FALSE;;FALSE;FALSE;FALSE;
Software Engineer, Backend - Remote;Project Admission;105,000 - 120,000 a year;0;0;Full-time;TN;Nashville, TN;1;FALSE;REMOTE_ALWAYS;FALSE;FALSE;TRUE;
Senior Software Engineer - Enterprise Team (Full-Stack/Front-Leaning);Indeed;109,000 - 159,000 a year;4,3;824;Full-time;;Remote;NaN;FALSE;REMOTE_ALWAYS;FALSE;FALSE;TRUE;
Senior COBOL Developer (G67);Resource Management Associates LLC.;45 an hour;4;2;Full-time, Temporary, Contract;GA;Atlanta, GA;1;FALSE;;TRUE;FALSE;TRUE;
Senior ASP.NET Developer;Defy Medical;115,000 - 130,000 a year;-2,9;10;Full-time;FL;Tampa, FL;1;FALSE;REMOTE_COVID_TEMPORARY;FALSE;FALSE;TRUE;
Senior Software Engineer;POPi/o Mobile Video Cloud;40 - 74 an hour;0;0;Full-time;UT;Sandy, UT;2;TRUE;;FALSE;FALSE;TRUE;
Software/Firmware Engineer;CQENS Technologies Inc.;90,000 - 150,000 a year;0;0;Full-time;;California;1;FALSE;REMOTE_ALWAYS;TRUE;FALSE;TRUE;
Embedded Software Developer - C/C++ Experience Required;Real Time Automation;80,000 - 100,000 a year;0;0;Full-time;WI;Fort Atkinson, WI;1;FALSE;;FALSE;FALSE;TRUE;
Head of Site Reliability Engineering;S&P Global;148,200 - 338,600 a year;3,9;1354;;NJ;Princeton, NJ;NaN;FALSE;;FALSE;FALSE;FALSE;
Junior Production Support Software Engineer - Salesforce.org;Salesforce;121,800 a year;4,3;767;Full-time;;Texas;NaN;FALSE;;TRUE;FALSE;FALSE;
Automation Engineer - Lorain, OH;Absolute Machine Tools, Inc.;55,000 - 85,000 a year;1;1;Full-time;OH;Lorain, OH;2;FALSE;;FALSE;FALSE;TRUE;
Senior Site Reliability Engineer;Apto Payments;120,000 - 180,000 a year;0;0;Full-time;;Remote;1;TRUE;;FALSE;FALSE;TRUE;
Senior Full Stack Engineer;CyberCoders;120,000 - 160,000 a year;3,4;47;Full-time;CO;Denver, CO;NaN;FALSE;;TRUE;FALSE;TRUE;
Junior Application Developer;State of Montana;68,000 - 78,000 a year;3,5;276;Full-time;MT;Helena, MT;NaN;FALSE;;FALSE;FALSE;FALSE;
Sr. Mobile Automation Engineer;IT Giants Inc;40 - 60 an hour;0;0;Full-time;PA;West Chester, PA;4;TRUE;REMOTE_COVID_TEMPORARY;FALSE;FALSE;TRUE;
Solutions Engineer, Software;Liberty Mutual Insurance;150,000 - 200,000 a year;3,6;4540;;NH;Dover, NH;NaN;FALSE;;FALSE;FALSE;FALSE;
Software Programmer - Java;Flux Resources;71 - 77 an hour;4,1;7;Full-time, Contract;OR;Portland, OR;1;TRUE;;TRUE;FALSE;TRUE;
Junior Software Engineer;Systems Automated;70,000 - 90,000 a year;0;0;Full-time;TX;Dallas, TX;1;FALSE;;FALSE;FALSE;TRUE;
Senior Software Engineer - Hiring Insights (Full Stack);Indeed;132,000 - 192,000 a year;4,3;824;Full-time;WA;Seattle, WA;NaN;FALSE;REMOTE_ALWAYS;FALSE;FALSE;TRUE;
Software Diagnostic Engineer;CyberCoders;140,000 - 190,000 a year;3,4;47;Full-time;CA;San Jose, CA;NaN;FALSE;;TRUE;FALSE;TRUE;
C# Senior Software Developer (Contractor) - Front Office Trading /Risk;DataAxxis;900 - 1,000 a day;0;0;Full-time, Contract;NY;New York, NY;3;TRUE;REMOTE_COVID_TEMPORARY;TRUE;FALSE;TRUE;
Senior Web Developer;FreeRateUpdate.com LLC;100,000 - 120,000 a year;0;0;Full-time;PA;Chadds Ford, PA;2;TRUE;;FALSE;FALSE;TRUE;
Software Engineer;Indeed;132,000 - 192,000 a year;4,3;824;Full-time;WA;Seattle, WA;NaN;FALSE;;FALSE;FALSE;TRUE;
Middle Staff Software Engineer - Job Seeker API;Indeed;164,000 - 239,000 a year;4,3;824;Full-time;WA;Seattle, WA;NaN;FALSE;;TRUE;FALSE;TRUE;
React Developer;Thumbraise;42,256 - 95,005 a year;0;0;Full-time;;Remote;1;FALSE;REMOTE_ALWAYS;FALSE;FALSE;TRUE;
Sr. Robotics Software Engineer;Decide;100,000 - 140,000 a year;0;0;Full-time;MA;Boston, MA;1;TRUE;;FALSE;FALSE;TRUE;
Senior Remote Software Engineer (Code: OP) 100% Remote;HK Tech;90,000 a year;0;0;Full-time;UT;Lindon, UT;NaN;FALSE;REMOTE_ALWAYS;FALSE;FALSE;TRUE;
Senior Web Developer - .NET;SPN Solutions Inc.;95,000 - 100,000 a year;-3,3;10;Full-time;MD;Bethesda, MD;1;TRUE;;FALSE;FALSE;TRUE;
Site Reliability - Incident Commander;Salesforce;121,800 a year;4,3;767;Full-time;CA;San Francisco, CA;NaN;FALSE;;TRUE;FALSE;FALSE;
Middle Java Full Stack Developer;SkyWalkGlobalServices;75 - 85 an hour;0;0;Full-time, Contract;NY;New York, NY;1;FALSE;REMOTE_ALWAYS;FALSE;FALSE;TRUE;
NaN;State of West Virginia;36,779 - 68,041 a year;3,5;135;Full-time;WV;Kanawha County, WV;NaN;FALSE;;FALSE;FALSE;FALSE;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
